TEAM,CONF,G,W,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,POSTSEASON,SEED,Win PCT
Kansas,B12,36,28,52.6,47,17.5,20.2,28.7,28.7,29.8,31.1,R32,1,77.77777778
Purdue,B10,35,29,51.8,47.2,17.2,15.4,38.4,23.5,37.2,19.2,R64,1,82.85714286
Alabama,SEC,37,31,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,S16,1,83.78378378
Houston,Amer,37,33,52.3,42.7,15.4,21.1,37.1,27.7,28.9,35.7,S16,1,89.18918919
Texas,B12,38,29,53.3,48.1,16.3,22.1,28.3,29,30.5,33.7,E8,2,76.31578947
Marquette,BE,36,29,56,51,15.3,22.5,26.2,31.7,27,29.1,R32,2,80.55555556
Arizona,P12,35,28,56.5,47.1,18.4,16.9,30.7,26.1,35.8,25.5,R64,2,80
UCLA,P12,37,31,51.1,46.8,14.9,23.3,33,28.2,27.4,27.5,S16,2,83.78378378
Kansas St.,B12,36,26,52.3,48.1,19.3,21,29.9,30.3,36.1,36.3,E8,3,72.22222222
Gonzaga,WCC,36,31,57.6,51.4,14.8,17.8,31.2,25.6,34.1,26,E8,3,86.11111111
Baylor,B12,34,23,53.2,51.6,17.9,19.9,34.4,30.9,36.8,31.3,R32,3,67.64705882
Xavier,BE,37,27,55.2,50.3,17.2,16.2,30.8,25,31.4,27,S16,3,72.97297297
Connecticut,BE,39,31,53.9,44.4,18.9,18.5,38.5,26.1,30.8,37.8,Champions,4,79.48717949
Indiana,B10,35,23,53.5,47.2,16.8,16.3,28.1,29,29.5,29.8,R32,4,65.71428571
Virginia,ACC,33,25,51.2,48.3,13.6,19.5,25.6,24.9,34.7,26.3,R64,4,75.75757576
Tennessee,SEC,36,25,49.9,42.8,18.1,22.2,36.4,26.9,30.7,33.8,S16,4,69.44444444
San Diego St.,MWC,38,32,49.3,46.5,17.3,19.1,31.6,26.1,33.2,30.2,2ND,5,84.21052632
Miami FL,ACC,37,29,54.3,51.2,16.1,18.1,31.8,28.8,30.7,24,F4,5,78.37837838
Saint Mary's,WCC,34,27,52,47.1,16.4,19.2,32.6,21.9,32,29.9,R32,5,79.41176471
Duke,ACC,36,27,51.1,46,18.3,16.5,35.9,26.1,29.9,23.7,R32,5,75
Creighton,BE,37,24,54.2,47.1,16.6,13.9,25.3,23.5,28.4,19.7,E8,6,64.86486486
Kentucky,SEC,34,22,50.6,48.6,17.4,16.6,39.2,25,31.9,29.9,R32,6,64.70588235
TCU,B12,35,22,50,48.1,16.7,21.6,32.2,30.5,34.1,30.1,R32,6,62.85714286
Iowa St.,B12,33,19,49.9,49.9,19.6,25,33.9,26.5,27.9,40.8,R64,6,57.57575758
Northwestern,B10,34,22,47.3,48.4,14.7,21.3,28.6,27.7,29.7,31.6,R32,7,64.70588235
Missouri,SEC,35,25,55,52.3,15.8,24,26.3,37.2,29.1,34.2,R32,7,71.42857143
Texas A&M,SEC,35,25,48.8,48.2,18.3,20.9,36.7,30.4,45.1,34.7,R64,7,71.42857143
Michigan St.,B10,34,21,51.7,48.6,16.4,14.8,27.6,25.2,27.2,28,S16,7,61.76470588
Maryland,B10,35,22,50.8,47.7,16.5,18.4,30,28.1,34.3,28.4,R32,8,62.85714286
Iowa,B10,33,19,51.7,53.3,14,18.2,32.1,27.4,32.3,23.8,R64,8,57.57575758
Memphis,Amer,35,26,53,46.7,18.3,20.8,31.2,32.7,35.4,34.4,R64,8,74.28571429
Arkansas,SEC,36,22,50.9,47.2,18.1,20.5,30.8,27.9,39.3,39.5,S16,8,61.11111111
Florida Atlantic,CUSA,37,35,54.3,46.1,16.9,17.7,31.4,25.4,29.6,26.3,F4,9,94.59459459
Auburn,SEC,34,21,49.5,45.7,17.7,18.9,32.8,32.4,36.3,38.9,R32,9,61.76470588
West Virginia,B12,34,19,51.5,50.9,18.5,20.9,34,29.3,39.4,38.7,R64,9,55.88235294
Illinois,B10,33,20,51.4,46.7,18.4,18.5,31.6,26.7,34.3,30.1,R64,9,60.60606061
Penn St.,B10,37,23,55.4,49.1,13.7,13.1,19.2,25.6,21.3,25.5,R32,10,62.16216216
USC,P12,33,22,51.2,45.4,18.1,17.9,28.8,32.7,33.2,30.2,R64,10,66.66666667
Boise St.,MWC,33,24,51.6,47.5,16.6,17.5,27.2,24,30.3,27.6,R64,10,72.72727273
